year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1950,New York,New York,12296117.0,1253.4,324629.10974951426,264.0094509100021
1960,New York,New York,14114927.0,1891.5,489896.2510700544,347.07671606807065
1970,New York,New York,16206841.0,2425.1,628098.0166375834,387.5511684464501
1980,New York,New York,15590274.0,2808.0,727268.6613823489,466.4886976215741
1990,New York,"New York, NY--Northeastern New Jersey",16044012.0,2966.4,768294.0730500711,478.8665534842975
2000,New York,"New York--Newark, NY--NJ--CT",17799861.0,3352.6,868319.4138712474,487.8237048431151
2010,New York,"New York--Newark, NY--NJ--CT                                                                        ",18351295.0,3450.2,893597.6978281267,486.93985782917593
2020,New York,"New York--Jersey City--Newark, NY--NJ",19426449.0,3248.12,841259.2180944568,433.0483754876956
1950,Los Angeles,Los Angeles,3996946.0,871.3,225665.6640535757,564.5952285909684
1960,Los Angeles,Los Angeles,6488791.0,1370.0,354828.371116032,546.8327938379153
1970,Los Angeles,Los Angeles,8351266.0,1571.9,407120.2310637159,487.49522654854474
1980,Los Angeles,Los Angeles,9479436.0,1827.0,473190.82775838726,499.17614060413223
1990,Los Angeles,"Los Angeles, CA",11402946.0,1965.7,509113.96284874756,446.47581673082334
2000,Los Angeles,"Los Angeles--Long Beach--Santa Ana, CA",11789487.0,1667.93,431991.88688727247,366.42127591070965
2010,Los Angeles,"Los Angeles--Long Beach--Anaheim, CA                                                                ",12150996.0,1736.02,449627.1159305503,370.0331363211298
2020,Los Angeles,"Los Angeles--Long Beach--Anaheim, CA",12237376.0,1636.83,423937.0238641275,346.4280445939779
1950,Chicago,Chicago,4920816.0,707.6,183267.5586873754,372.4332685623185
1960,Chicago,Chicago,5959213.0,959.8,248587.0588300493,417.14746365006465
1970,Chicago,Chicago,6714578.0,1277.2,330793.28145211394,492.64939874421583
1980,Chicago,Chicago,6779799.0,1498.0,387980.21892833285,572.2591760144111
1990,Chicago,"Chicago, IL--Northwestern Indiana",6792087.0,1584.5,410383.61608273926,604.2084208914569
2000,Chicago,"Chicago, IL--IN",8307904.0,2122.81,549805.2660502364,661.7857717785814
2010,Chicago,"Chicago, IL--IN                                                                                     ",8608208.0,2442.75,632669.3456523265,734.9605697867971
2020,Chicago,"Chicago, IL--IN",8671746.0,2337.89,605510.7303273431,698.25699498964
1950,Miami,Miami,458647.0,116.5,30173.361485414403,657.8776594072217
1960,Miami,Miami,852705.0,183.1,47422.68230025216,556.1440627210133
1970,Miami,Miami,1219661.0,258.7,67002.99241439233,549.3575051952332
1980,Miami,Miami,1608159.0,340.0,88059.595751424,547.5801568838903
1990,Miami,"Miami--Hialeah, FL",1914660.0,352.7,91348.88065155073,477.10236100169607
2000,Miami,"Miami, FL",4919036.0,1116.09,289065.9830064906,587.6476264993601
2010,Miami,"Miami, FL                                                                                           ",5502379.0,1238.61,320798.5173343273,583.0178497961105
2020,Miami,"Miami--Fort Lauderdale, FL",6077522.0,1244.18,322241.1407117845,530.2179748782225
1950,Houston,Houston,700508.0,270.1,69955.57886017537,998.640684477199
1960,Houston,Houston,1139678.0,430.5,111498.9881499648,978.3376370340114
1970,Houston,Houston,1677863.0,538.6,139496.759622697,831.3954096532136
1980,Houston,Houston,2412664.0,1049.0,271689.75277424644,1126.0985896678794
1990,Houston,"Houston, TX",2901851.0,1177.3,304919.30022985727,1050.7751784287245
2000,Houston,"Houston, TX",3822509.0,1295.27,335473.3899674911,877.6261611614024
2010,Houston,"Houston, TX                                                                                         ",4944332.0,1660.02,429943.2062919967,869.5678330095889
2020,Houston,"Houston, TX",5853575.0,1752.69,453944.62611048046,775.4998033005138
1950,Dallas,Dallas,538924.0,142.7,36959.13033449472,685.7948492643624
1960,Dallas,Dallas,932349.0,647.0,167572.23073873922,1797.31228047372
1970,Dallas,Dallas,1338684.0,674.2,174616.99839885315,1304.392959046744
1980,Dallas,Dallas,2451390.0,1280.0,331518.47812300804,1352.3693827706243
1990,Dallas,"Dallas--Fort Worth, TX",3198259.0,1443.0,373735.28432148485,1168.5585323811638
2000,Dallas,"Dallas--Fort Worth--Arlington, TX",4145659.0,1407.04,364421.68707671657,879.0440484292523
2010,Dallas,"Dallas--Fort Worth--Arlington, TX                                                                   ",5121892.0,1779.13,460792.5546742088,899.6530084472863
2020,Dallas,"Dallas--Fort Worth--Arlington, TX",5732354.0,1746.9,452445.02299459587,789.2831164903562
1950,Philadelphia,Philadelphia,2922470.0,311.6,80704.02951806977,276.15007003688584
1960,Philadelphia,Philadelphia,3635228.0,599.2,155192.08757133313,426.9115653030102
1970,Philadelphia,Philadelphia,4021042.0,751.8,194715.30613506047,484.24091599903824
1980,Philadelphia,Philadelphia,4112933.0,1015.0,262883.793199104,639.16381132176
1990,Philadelphia,"Philadelphia, PA--NJ",4222211.0,1164.2,301526.41580531717,714.1434092358652
2000,Philadelphia,"Philadelphia, PA--NJ--DE--MD",5149079.0,1799.51,466070.9504430736,905.1540099560981
2010,Philadelphia,"Philadelphia, PA--NJ--DE--MD                                                                        ",5441567.0,1981.37,513172.474217644,943.0601042266759
2020,Philadelphia,"Philadelphia, PA--NJ--DE--MD",5696125.0,1898.19,491628.95311586926,863.0936875786069
1950,Washington,Washington,1287333.0,178.4,46205.387888394245,358.92335462847797
1960,Washington,Washington,1808423.0,340.7,88240.89491914753,487.94388768085525
1970,Washington,Washington,2481459.0,494.5,128074.91205611521,516.1274558883108
1980,Washington,Washington,2763105.0,807.0,209012.04050411523,756.439007942569
1990,Washington,"Washington, DC--MD--VA",3363031.0,944.6,244650.27690233858,727.4695859251331
2000,Washington,"Washington, DC--VA--MD",3933920.0,1156.77,299602.05463933747,761.5865463439455
2010,Washington,"Washington, DC--VA--MD                                                                              ",4586770.0,1321.73,342326.49850744015,746.3345633363787
2020,Washington,"Washington--Arlington, DC--VA--MD",5174759.0,1294.51,335276.5508711056,647.9075660742956
1950,Atlanta,Atlanta,507887.0,105.5,27324.374564044803,538.0010625206946
1960,Atlanta,Atlanta,768123.0,245.8,63661.90775205889,828.7983532853317
1970,Atlanta,Atlanta,1172778.0,435.0,112664.482799616,960.6633378151364
1980,Atlanta,Atlanta,1613357.0,905.0,234393.923985408,1452.833588507739
1990,Atlanta,"Atlanta, GA",2157806.0,1136.7,294403.94850189314,1364.3670862991999
2000,Atlanta,"Atlanta, GA",3499840.0,1962.58,508305.8865583227,1452.368927031872
